formatname,minutes,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,play3PA,play3PM,playFTA,playFTM,playORB,playDRB,playTRB,possOnCourt,possUsed,games
KostaKoufos,1391.0833333440005,477.0,87.0,49.0,48.0,32.0,146.0,389.0,222.0,0.0,0.0,74.0,33.0,149.0,323.0,472.0,2746.847592517392,418.0844057208112,71
KrisDunn,1524.8333333399999,699.0,310.0,150.0,104.0,28.0,174.0,666.0,286.0,134.0,43.0,114.0,84.0,23.0,197.0,220.0,3190.298082829517,789.2591719114906,52
KristapsPorzingis,1553.1666666500003,1088.0,57.0,93.0,36.0,115.0,141.0,889.0,390.0,229.0,90.0,275.0,218.0,62.0,254.0,316.0,3175.0159202792815,986.6680013717672,48
KyleAnderson,1978.1000000000004,585.0,202.0,94.0,116.0,60.0,114.0,438.0,231.0,57.0,19.0,146.0,104.0,84.0,311.0,395.0,3947.5346865614106,537.4364456375683,74
KyleCollinsworth,479.56666665999995,101.0,56.0,24.0,17.0,9.0,44.0,99.0,38.0,17.0,4.0,40.0,21.0,32.0,75.0,107.0,960.926109681895,123.65777829015207,32
KyleKorver,1573.8833333209996,672.0,88.0,55.0,31.0,27.0,130.0,484.0,222.0,376.0,164.0,72.0,64.0,9.0,155.0,164.0,3285.8389231014653,523.8709584444158,73
KyleKuzma,2400.93333335,1242.0,141.0,140.0,49.0,34.0,160.0,1039.0,468.0,435.0,159.0,208.0,147.0,89.0,395.0,484.0,5090.329547220177,1142.125750981114,77
KyleLowry,2509.3999999800008,1267.0,537.0,183.0,85.0,18.0,192.0,943.0,403.0,596.0,238.0,261.0,223.0,67.0,368.0,435.0,5214.41659058488,1120.4738093486303,78
KyleOQuinn,1386.6333332869997,550.0,158.0,100.0,35.0,98.0,192.0,384.0,224.0,17.0,4.0,127.0,98.0,121.0,349.0,470.0,2814.967873342405,488.001056067999,77
KyleSingler,58.833333329,23.0,2.0,3.0,1.0,0.0,4.0,21.0,7.0,5.0,2.0,13.0,7.0,1.0,9.0,10.0,116.56104280370012,26.43246061333731,12
KyrieIrving,1931.449999993,1466.0,306.0,139.0,65.0,17.0,122.0,1087.0,534.0,407.0,166.0,261.0,232.0,33.0,194.0,227.0,3952.6464243609726,1215.8948303518755,60
