index,cluster,formatname,Year
459,0,MikeConley,2014
460,0,StephenCurry,2014
461,0,JordanFarmar,2014
462,0,DevinHarris,2014
463,0,JrueHoliday,2014
464,0,KyrieIrving,2014
465,0,BrandonJennings,2014
466,0,TyLawson,2014
467,0,KyleLowry,2014
468,0,KendallMarshall,2014
469,0,JameerNelson,2014
470,0,ChrisPaul,2014
471,0,PhilPressey,2014
472,0,RonniePrice,2014
473,0,PabloPrigioni,2014
474,0,RajonRondo,2014
475,0,RickyRubio,2014
476,0,JeffTeague,2014
477,0,IsaiahThomas,2014
478,0,JohnWall,2014
479,0,DeronWilliams,2014
480,0,MoWilliams,2014
481,0,DJAugustin,2015
482,0,JoseBarea,2015
483,0,SteveBlake,2015
484,0,MikeConley,2015
485,0,StephenCurry,2015
486,0,SpencerDinwiddie,2015
487,0,TylerEnnis,2015
488,0,JrueHoliday,2015
489,0,BrandonJennings,2015
490,0,TyLawson,2015
491,0,JeremyLin,2015
492,0,ShelvinMack,2015
493,0,KendallMarshall,2015
494,0,TonyParker,2015
495,0,ChrisPaul,2015
496,0,RonniePrice,2015
497,0,PabloPrigioni,2015
498,0,NateRobinson,2015
499,0,DennisSchroder,2015
500,0,IshmaelSmith,2015
501,0,JeffTeague,2015
502,0,IsaiahThomas,2015
503,0,JohnWall,2015
504,0,DeronWilliams,2015
505,0,MoWilliams,2015
506,0,TonyWroten,2015
507,0,DJAugustin,2016
508,0,SteveBlake,2016
509,0,AaronBrooks,2016
510,0,MarioChalmers,2016
511,0,MikeConley,2016
512,0,StephenCurry,2016
513,0,MatthewDellavedova,2016
514,0,JrueHoliday,2016
515,0,MarceloHuertas,2016
516,0,ReggieJackson,2016
517,0,BrandonJennings,2016
518,0,TyusJones,2016
519,0,ShaneLarkin,2016
520,0,TyLawson,2016
521,0,KendallMarshall,2016
522,0,TJMcConnell,2016
523,0,ShabazzNapier,2016
524,0,ChrisPaul,2016
525,0,ElfridPayton,2016
526,0,RajonRondo,2016
527,0,RickyRubio,2016
528,0,DennisSchroder,2016
529,0,IshmaelSmith,2016
530,0,JeffTeague,2016
531,0,IsaiahThomas,2016
532,0,JohnWall,2016
533,0,DJAugustin,2017
534,0,JoseBarea,2017
535,0,MikeConley,2017
536,0,StephenCurry,2017
537,0,MatthewDellavedova,2017
538,0,TylerEnnis,2017
539,0,TimFrazier,2017
540,0,JrueHoliday,2017
541,0,KyrieIrving,2017
542,0,ReggieJackson,2017
543,0,BrandonJennings,2017
544,0,TyusJones,2017
545,0,TyLawson,2017
546,0,TJMcConnell,2017
547,0,PatrickMills,2017
548,0,JameerNelson,2017
549,0,TonyParker,2017
550,0,ChrisPaul,2017
551,0,SergioRodriguez,2017
552,0,RickyRubio,2017
553,0,DennisSchroder,2017
554,0,RamonSessions,2017
555,0,JeffTeague,2017
556,0,IsaiahThomas,2017
557,0,BenoUdrih,2017
558,0,TylerUlis,2017
559,0,JohnWall,2017
560,0,DeronWilliams,2017
561,0,DJAugustin,2018
562,0,RonBaker,2018
563,0,JoseBarea,2018
564,0,TreyBurke,2018
565,0,DarrenCollison,2018
566,0,MatthewDellavedova,2018
567,0,SpencerDinwiddie,2018
568,0,JerianGrant,2018
569,0,TyusJones,2018
570,0,RajonRondo,2018
571,0,DennisSchroder,2018
572,0,RamonSessions,2018
573,0,IsaiahTaylor,2018
574,0,JeffTeague,2018
575,0,IsaiahThomas,2018
576,0,TylerUlis,2018
577,0,KembaWalker,2018
578,0,JohnWall,2018
579,0,LouWilliams,2018
580,1,VinBaker,1997
581,1,CharlesBarkley,1997
582,1,ChuckyBrown,1997
583,1,PJBrown,1997
584,1,MichaelCage,1997
585,1,AdrianCaldwell,1997
586,1,MarcusCamby,1997
587,1,EldenCampbell,1997
588,1,DerrickColeman,1997
589,1,AndrewDeClercq,1997
590,1,VladeDivac,1997
591,1,GregFoster,1997
592,1,ToddFuller,1997
593,1,KevinGarnett,1997
594,1,ChrisGatling,1997
595,1,MattGeiger,1997
596,1,ArmenGilliam,1997
597,1,HoraceGrant,1997
598,1,ACGreen,1997
599,1,TomHammonds,1997
600,1,OthellaHarrington,1997
601,1,TyroneHill,1997
602,1,PopeyeJones,1997
603,1,AdamKeefe,1997
604,1,ShawnKemp,1997
605,1,JoeKleine,1997
606,1,AndrewLang,1997
607,1,LucLongley,1997
608,1,DonyellMarshall,1997
609,1,TonyMassenburg,1997
610,1,AntonioMcDyess,1997
611,1,IvanoNewbill,1997
612,1,HakeemOlajuwon,1997
613,1,BoOutlaw,1997
614,1,RayOwes,1997
615,1,RobertParish,1997
616,1,CherokeeParks,1997
617,1,OldenPolynice,1997
618,1,DonReid,1997
619,1,CarlosRogers,1997
620,1,SeanRooks,1997
621,1,MalikRose,1997
622,1,MichaelSmith,1997
623,1,RikSmits,1997
624,1,DerekStrong,1997
625,1,GaryTrent,1997
626,1,LoyVaught,1997
