Feature,Importance,Cluster Average,League Average,%diff,Cluster,level
PTS/36,0.3638137508914967,14.037366060826638,14.11450299334006,-0.5465083152401432,5,C
AST/36,0.3554822703399455,2.093102407210936,3.0423826471649678,-31.20186873398764,5,D
DWS,0.3553166001216403,1.7267880364109236,1.7009504197687317,1.5190105685564221,5,C
USG%,0.31574251516032353,19.082834850455136,19.221241881831148,-0.7200733034156394,5,C
TS%,0.28195515752491446,0.5241274382314695,0.5302987486139712,-1.1637422110897941,5,C
TRB%,0.22327546874899692,12.131079323797126,10.206843022334892,18.852413985906978,5,C
DBPM,0.20652060448412132,0.28231469440832224,-0.03806431173768421,841.6781796919414,5,A
PPS_00-02 At Rim,0.2018097453703895,1.2376417621248914,1.2164060614255219,1.745773995443852,5,C
PPS_03-08 Near Rim,0.1845423473163695,0.7386885294155445,0.7336047608055732,0.6929846807957987,5,C
PPS_18-23 Long Jumper,0.14903735235984486,0.7398582887032706,0.7202918715698547,2.7164567456205586,5,C
PPS_24-27 Three,0.1459453503707373,0.7413203178400632,0.7742696797922912,-4.255540777609567,5,C
BLK%,0.1262009555912417,1.7780884265279586,1.6547045778552234,7.456548457287858,5,C
STL%,0.12443719414719719,1.5041612483745124,1.629748138761293,-7.7059078884565775,5,C
PPS_28-34 Deep,0.11056446990621123,0.23750849825062645,0.34636556119416434,-31.428373700962492,5,D
PPS_09-12 Short Range,0.11014591610966802,0.7113222399100438,0.7146006180076808,-0.4587706776376931,5,C
PPS_13-17 Mid Range,0.10546588701675078,0.7691750773346057,0.748227460644516,2.799632169613988,5,C
3PAr,0.03292459990872188,0.16079323797139147,0.2212361793125287,-27.32055015999561,5,D
FTr,0.03070340292394067,0.3034564369310795,0.2995672421986379,1.298271033874503,5,C
TOV%,-0.08335175169925797,12.672431729518866,13.615444321241911,-6.926050810195152,5,C
PTS/36,0.40900372727231954,13.119640230117009,14.11450299334006,-7.04851430966063,6,C
USG%,0.385875496335663,17.609451219512195,19.221241881831148,-8.385465789504973,6,C
AST%,0.3733158876850366,6.960213414634156,13.855425312846457,-49.76542937169317,6,D
AST/36,0.3356271602041501,1.5192342497818234,3.0423826471649678,-50.06432701036091,6,D
DWS,0.309623053351588,2.024542682926831,1.7009504197687317,19.02420313944813,6,C
PPS_03-08 Near Rim,0.20073154559201456,0.7781679213869803,0.7336047608055732,6.074546262823071,6,C
PPS_24-27 Three,0.1808618818866546,0.19200594014256958,0.7742696797922912,-75.20167130991389,6,F
PPS_00-02 At Rim,0.17157782149397616,1.2790489766593731,1.2164060614255219,5.149835833639237,6,C
PPS_13-17 Mid Range,0.1666212825556643,0.6808770361234638,0.748227460644516,-9.001330218893209,6,C
TS%,0.16385104068263923,0.5425625000000004,0.5302987486139712,2.3126117906336123,6,C
PPS_18-23 Long Jumper,0.1607694452917898,0.5534963917777335,0.7202918715698547,-23.15665168185162,6,D
PPS_09-12 Short Range,0.1567449240206178,0.6846791581974967,0.7146006180076808,-4.187158400954884,6,C
DBPM,0.14889946000344248,1.4298780487804872,-0.03806431173768421,3856.479451498627,6,A
3PAr,0.13980074293650271,0.01482621951219509,0.2212361793125287,-93.29846521565042,6,F
BLK%,0.11966429300588838,3.748323170731709,1.6547045778552234,126.52521911737071,6,A
TRB%,0.09170663191797977,16.310670731707308,10.206843022334892,59.80132834428681,6,B
PPS_28-34 Deep,0.07241599162407675,0.04046893147502903,0.34636556119416434,-88.31612145979402,6,F
STL%,-0.00883968255616913,1.2225609756097569,1.629748138761293,-24.98466808871603,6,D
FTr,-0.09005495033869376,0.4007225609756094,0.2995672421986379,33.76714958369752,6,B
TOV%,-0.22492997747360968,14.672560975609757,13.615444321241911,7.7640995727080515,6,C
AST%,0.40061874823236704,21.95675675675676,13.855425312846457,58.47046381462518,7,B
AST/36,0.3849203739121887,4.826628839129799,3.0423826471649678,58.64634396424374,7,B
TRB%,0.3817063633145264,5.809563409563418,10.206843022334892,-43.08168160467666,7,D
DBPM,0.34321874096047933,-1.1361746361746372,-0.03806431173768421,-2884.8815972411453,7,F
DWS,0.3005776423149015,1.3864864864864859,1.7009504197687317,-18.487542589571877,7,C
STL%,0.25008224693581055,1.9064449064449056,1.629748138761293,16.977885177639703,7,C
FTr,0.23735185113640658,0.25735239085239087,0.2995672421986379,-14.091945112695296,7,C
TOV%,0.20970057501105316,14.518087318087295,13.615444321241911,6.629552261009504,7,C
BLK%,0.2028913546196995,0.5333160083160082,1.6547045778552234,-67.76971457906548,7,D
USG%,0.1810208726196842,20.78939708939708,19.221241881831148,8.158448955622529,7,C
PTS/36,0.13189494222462173,14.89943252147533,14.11450299334006,5.561155986191213,7,C
PPS_00-02 At Rim,0.11508587073949043,1.140654919026386,1.2164060614255219,-6.227455189623291,7,C
PPS_03-08 Near Rim,0.03668848827001728,0.7142995719245115,0.7336047608055732,-2.63155174454738,7,C
TS%,0.030347087004980677,0.5223981288981285,0.5302987486139712,-1.489843175472753,7,C
PPS_09-12 Short Range,0.02242493199772416,0.7380650619214438,0.7146006180076808,3.2835745341478004,7,C
PPS_13-17 Mid Range,0.008008283563918367,0.7805043569741968,0.748227460644516,4.313781306807142,7,C
PPS_28-34 Deep,-0.015519934455535116,0.5415397226775825,0.34636556119416434,56.349182294716705,7,B
PPS_18-23 Long Jumper,-0.05548009524419902,0.7834479493579969,0.7202918715698547,8.76812307356674,7,C
PPS_24-27 Three,-0.1071608769626219,1.021706433779445,0.7742696797922912,31.957438143972293,7,B
3PAr,-0.22898239063725676,0.32711226611226596,0.2212361793125287,47.856587981557794,7,B
